id,respondido_en,2_edad,3_sexo,4_alcaldia_de_residencia,5_colonia_de_residencia,6_cual_es_tu_medio_de_transporte_mas_comun,7_estas_de_acuerdo_en_que_se_realice_la_ampliacion_de_la_linea_3_del_metrobus,8_si_respondiste_si_que_recomendaciones_harias_para_minimizar_las_afectaciones,9_si_respondiste_parcialmente_cuales_son_las_consideraciones_que_deberian_tomarse_en_cuenta_para_que,10_si_respondiste_no_queremos_conocer_tus_argumentos,11_te_beneficia_la_ampliacion_de_la_linea_3_del_metrobus
16,2019-11-09T21:34:08+00:00,22.0,M,Azcapotzalco,San Pedro,Transporte público,Sí,Que se hiciera de manera rápida y efectiva,,,Sí
17,2019-11-09T19:04:38+00:00,26.0,M,Azcapotzalco,Tierra nueva,Transporte público,Sí,"Cambiar el asfalto ,mejorar el entorno de las estaciones así como mejores en las colonias afectadas como más seguridad alumbrado incluir áreas verdes y llegar a acuerdos con vecinos recordarles que es un transporte para toda la ciudad y no solo para los vecinos de esa comunidad .La ciudad es de todos!",,,Sí
18,2019-11-08T19:50:27+00:00,23.0,M,Azcapotzalco,Nueva España,Transporte público,Sí,"Se podría minimizar los impactos ambietales negativos, mediante la implementación de cubiertas vegetales sobre las estaciones que contemple la ampliación de la Línea. 
Que los tiempos establecidos para abordar el bús sean los correctos. (Mejorar logística)",,,Sí
19,2019-11-08T15:13:36+00:00,28.0,M,Azcapotzalco,Unidad Cuitlahuac,Bicicleta,Sí,Que las obras de construcción sean rápidas y eficientes.,,,Sí
20,2019-11-08T12:07:04+00:00,53.0,M,Azcapotzalco,Santa Catarina,Bicicleta,Sí,"Ir reduciendo cada vez más el uso del automóvil, y aumentando transporte público eléctrico y bicicleta.",,,Sí
21,2019-11-08T04:23:16+00:00,22.0,M,Azcapotzalco,Nueva Santa Maria,Transporte público,Sí,Dar alternativas viales (en transporte público).,,,Sí
22,2019-11-14T04:41:04+00:00,43.0,M,Benito Juárez,General Anaya,"A pie, Bicicleta, Transporte público",No,,,"No lo hagan! 
Van a hacer más tráfico
Es una pésima idea",No
23,2019-11-14T04:25:41+00:00,41.0,F,Benito Juárez,Xoco,Vehículo particular,No,,,"Se generaría mayor contaminación en la zona debido al tráfico de los automóviles que circulan a diario, debido a la reducción de carriles. Se obligaría a transitar hasta churubusco y avenida universidad para tener acceso en auto a lugares como cineteca y edificios de avenida México Coyoacán. Debido a la construcción de Mitika y al millar de autos que dará acceso de volverá imposible la circulación en esa zona, sumado a los autos de los miles de vecinos de los edificios de city Towers y Mitika entre otros. No se toma en cuenta q ello impedira que las ambulancias lleguen rápido al hospital que está a un costado de Mitika, porque será la única vía para miles de automovilistas, lo que generara caos, contaminación, estrés y se pone en riesgo la llegada de enfermos al hospital referido.",No
24,2019-11-14T04:07:45+00:00,35.0,M,Benito Juárez,General Pedro María Anaya,Vehículo particular,No,,,"Existe una línea del metro que recorre el mismo trayecto, por lo que el metrobus es una obra inútil. Desarrollen esa infraestructura en zonas que realmente lo necesiten.",No
25,2019-11-14T04:07:40+00:00,73.0,F,Benito Juárez,Narvarte,"Transporte público, Taxi",No,,,"El metro bus es el peor proyecto que existe! Genera mucho tráfico y empeora la vialidad!!
NO LO HAGAN",No
26,2019-11-14T04:05:06+00:00,35.0,F,Benito Juárez,Letran Valle,"Bicicleta, Vehículo particular",No,,,"No queremos metrobús no es necesario hay otras vías de acceso más eficientes, basta de los abusos a los residentes de Benito Juárez.",No
27,2019-11-14T03:46:57+00:00,37.0,F,Benito Juárez,General Anaya,Vehículo particular,No,,,Aumento del tránsito vehicular por reducción de carriles; obstrucción de entradas a edificios residenciales; cambio en el sentido de la circulación; aumento del comercio ambulante; aumento de ruido; accidentes entre el Metrobus y particulares; mayor contaminación; se genera más basura; se daña asfalto,No
28,2019-11-14T03:22:47+00:00,34.0,M,Benito Juárez,LETRAN VALLE,"Bicicleta, Vehículo particular",No,,,"La avenida cuauhtemoc posee varias edificaciones de muchos pisos las cuales se verían afectadas con la ampliación de el metrobus.

ya que los accesos a los mismos pueden volverse bastantes complicados.

además debajo de la avenida circula la linea 3 del metro que daría el mismo servicio que el metrobus",No
29,2019-11-14T03:01:03+00:00,63.0,M,Benito Juárez,Xoco,A pie,Sí,Que se realicen los trabajos por las noches,,,Sí
30,2019-11-14T05:48:38+00:00,56.0,F,Benito Juárez,General Pedro Maria Anaya,Transporte público,No,,,"Se originates mas traffic del que actualmente Existe.
Mejor seria que exista mas transported de ruta RTP, y en contraflujo",No
31,2019-11-14T05:38:56+00:00,21.0,F,Benito Juárez,Narvarte Poniente,Transporte público,No,,,"Av. Cuauhtémoc es una avenida sumamente concurrida y al incorporar el metrobus sólo ocasionaría más tránsito vial.

También pasan a afectar a todos los habitantes que tenemos nuestra entrada sobre esta avenida, talaran varios árboles eso afecta al ecosistema.  

No tiene ningún sentido que pongan un metrobus, cuando ya hay una línea de metro abajo justo con la misma dirección, también hay autobuses con la misma ruta, o sea métodos de acceso si hay. Es innecesario el metrobus",No
32,2019-11-14T05:37:54+00:00,48.0,M,Benito Juárez,Narvarte Poniente,Vehículo particular,No,,,"La afectación de mi edificio (número 1008 de la avenida Cuauhtémoc ) en cuanto al acceso, apariencia y viabilidad 

La línea 3 del metro hasta ahora es suficiente para la demanda de transporte público hacia el sur",No
33,2019-11-14T05:20:38+00:00,61.0,M,Benito Juárez,Gral. Pedro María Anaya,Vehículo particular,No,,,"Av. Cuauhtémoc es un eje vial por el que circulan muchos automóviles, de ocupar 3 carriles el metro bus colapsaria aún más toda la zona.
El peso del metro bus y su constante paso afectaría el subsuelo y a las casas, y la contaminación se incrementará.",No
34,2019-11-14T02:54:25+00:00,48.0,M,Benito Juárez,Letrán del Valle,Vehículo particular,No,,,"Porque se vuelve un caos la circulación y sólo benefician a unos cuantos ciudadanos, perjudicando a los automovilistas, hcen de la ciudad y llevan la delicuencia a la zona",No
35,2019-11-14T02:46:34+00:00,33.0,M,Benito Juárez,Portales Sur,Transporte público,Sí,"Que la construcción se haga rápido. No hay forma de minimizar las afectaciones si no es haciendo rápido el trabajo. De preferencia con multiples turnos e incluir, de ser necesario, un turno nocturno.",,,Sí
36,2019-11-14T02:00:01+00:00,53.0,F,Benito Juárez,Letran Valle,"Bicicleta, Transporte público, Vehículo particular",No,,,"El tránsito se verá severamente afectado, al quedar habilitados menos carriles para circular. Los cruces de calles y para bicicletas y peatones se volverán más peligrosos.
Yo soy usuaria del metro y me parece que es la vía más adecuada, útil y eficiente para trasladarse.
En algunas ocasiones tenemos manifestaciones y cierres viales  en Cuauhtémoc y Eje 7, que entorpecen visiblemente la vialidad de Cuauhtemoc, qué pasará si tenemos disponibles muchos menos carriles?

Por último, dado que por esta misma vía pasa el metro actualmente, el peso sobre este suelo sería mayor y las construcciones en Av. Cuauhtémoc serían muy vulnerables, ya que el suelo es tipo acuoso y estarían expuestas a vibraciones constantes para las cuales no fueron diseñadas.Además de la afectación por ruido constante pafra los vecinos de esta vía que es una de las más eficientes de la zona.",No
37,2019-11-14T01:56:38+00:00,53.0,F,Benito Juárez,General Pedro María Anaya,Transporte público,No,,No al metrobús,"* No hace falta , contamos muy cerca con el metro Coyoacán y demás estaciones de la línea 3
* Será un caos, ya tenemos demasiada afectación de tráfico , por  City Towers, ahora que funcione Mitika ,será imposible, y todavía un metrobús, la gente que habita en los antes mencionados, no usa transporte publico , y de ser así hay transporte de camión y el metro.",No
38,2019-11-14T01:13:48+00:00,37.0,M,Benito Juárez,Narvarte poniente,Transporte público,No,,,Inviertan en la línea del metro la cual es más eficiente,No
39,2019-11-14T00:52:39+00:00,55.0,F,Benito Juárez,Niños héroes de Chapultepec,"A pie, Transporte público",No,,,"Por que se reducirían los carriles en esa zona, ocasionaria mayor tráfico y no seria tan beneficioso por que esta la opción del metro. Seria mejor que aumentaran mas trenes a la linea 3 del metro. Además, no considero que sea tan importante el beneficio que provea una ampliación como en ptras zonas.",No
40,2019-11-14T00:38:35+00:00,40.0,M,Benito Juárez,Portales Norte,"Transporte público, Vehículo particular",No,,,"La Avenida Cuauhtémoc que después cambia su nombre a Av. México Coyoacán, es una avenida muy congestionada principalmente por carros particulares, entonces al reducirse carriles, va a provocar un caos vial; el transporte público existente, no tiene mucha demanda, generalmente los camiones que pasan por allí, van muy vacíos incluso a horas pico. 
También al conocer el proyecto, dicen que la vuelta de los Metrobuses sería por la calle de Bruno Traven y recortarían parte de la banqueta la cual cuenta con varios árboles y un jardín dedicado a las mascotas, lo cual sería un crimen ambiental. 

Estoy totalmente en Contra.",No
41,2019-11-13T23:04:19+00:00,63.0,M,Benito Juárez,GENERAL PEDRO MARIA ANAYA,Vehículo particular,No,,,"La zona de por si es sumamente conflictiva para accesar a la colonia y le van a quitar carriles al eje de Cuauhtemoc lo que ocasionara entre 15 y 20 minutos mas de trafico por lo cual mas contaminación, adicional a eso  mas inseguridad al moverse mucha mas gente por la zona y quieren que las unidades del Metrobús  hagan un ingreso a la colonia para proceder al regreso de la ruta, lo que ocasionaría contaminación de ruido y menos movilidad, además de esto cuando hay Metrobus quedan las vueltas a la izquierda prohibidas lo que hará mas problematico ingresar a la colonia.
Tomen en cuenta que cerca de esta zona se estan construyendo las torres de Mitika lo cual abonara para más caos vial.",No
42,2019-11-13T22:20:07+00:00,47.0,F,Benito Juárez,General Pedro María Anaya,Transporte público,No,No aplica,No aplica,"Cuauhtémoc es una avenida que apoya a avenida universidad en la distribución del tráfico y al disminuir el número de carriles en la avenida, incrementará el tráfico.
Bruno traven y Uxmal al usarlas de retorno complicaría mucho la zona, Bruno traven es una calle muy angosta para soportar el pase constante de unidades pesadas en adición al tráfico local, Uxmal en ese punto el camellón recién fue adaptado con bancas y un espacio para perros, generaría mayor inseguridad por el incremento de personas ajenas a la zona",No
43,2019-11-14T00:46:53+00:00,38.0,M,Benito Juárez,narvarte,Transporte público,Sí,Cuidar el cumplimiento del reglamento de transito.,,,Sí
44,2019-11-14T00:45:48+00:00,43.0,M,Benito Juárez,Letrán Valle,"A pie, Vehículo particular",No,,,"Totalmente en desacuerdo, la avenida Cuauhtémoc es una vía rápida vehicular, el metrobús provocaría demasiado tránsito vial. Además del incremento de vendedores ambulantes en la zona.",No
45,2019-11-13T21:51:13+00:00,44.0,M,Benito Juárez,XOCO,Transporte público,No,,,"EL TRANSPORTE PÚBLICO EXISTENTE ES SUFICIENTE Y ADECUADO, EL AUTOBÚS EN CONTRASENTIDO NUNCA VA LLENO Y EL QUE VIENE EN EL SENTIDO DE CUAUHTÉMOC TAMPOCO, EL METROBÚS COMPLICARÍA SEVERAMENTE EL TRÁNSITO DE VEHÍCULOS POR LA REDUCCIÓN DE CARRILES, ADEMÁS DE QUE SE ENTORPECERÍA LAS ENTRADAS AL HOSPITAL DE XOCO Y VIVIENDAS ALEDAÑAS.",No
46,2019-11-13T21:37:57+00:00,32.0,M,Benito Juárez,Tlacoquemecatl del valle,Transporte público,Sí,Acelerar las obras lo más posible.,,,Sí
47,2019-11-13T19:02:18+00:00,77.0,F,Benito Juárez,Xoco,"A pie, Taxi, Vehículo particular",No,,,"Reducir los carriles de avenida Cuauhtémoc va hacer un caos ya tenemos suficiente con las oficinas de la SEP, Mitika y la Cineteca Nacional. A demás se la a llenar de puestos ambilantaje  lo que va traer basura y delincuencia. NO ESTOY DE ACUERDO. 
Antes de pensar en esta obra concluyan las del metro que tienen parada.",No
48,2019-11-13T23:29:48+00:00,51.0,M,Benito Juárez,GRAL. PEDRO ANAYA,"A pie, Transporte público, Vehículo particular",No,,,"Hay otras alternativas de transporte como rehabilitar el Trolebús en ambos sentidos, esta todo para que se vuelvan a poner cableado, alrededor de aqui hay varias escuelas que ya ahorita hay horas picos y cuello de botella con los 4 carriles no me quiero imaginar con el metrobús como se va a poner esto; es poner un buen ""sistema de transporte"" sin afectar una vía que es bastante buena. Solo es un mejor análisis. La Ciudad de México necesita soluciones no caprichos.
Mejor un buen pavimento a las colonias de estos 4 y tantos kilomentros.",No
49,2019-11-13T18:25:43+00:00,55.0,F,Benito Juárez,General Pedro María Anaya,Transporte público,No,,,"1.- Se reducirían los carriles de circulación de la avenida ocasionando más tráfico del que habitualmente existe.
2.- El flujo de personas que utilizamos transporte público en esa zona, principalmente en las cercanías del hospital XOCO es muy baja.
3.- Se incrementaría la contaminación mejor pensar en transporte de energía limpia como el trolebús. 
4.- En la zona del hospital Xoco frecuentemente hay manifestaciones con cierre de calles, lo que provocaría un cuello de botella.",No
50,2019-11-13T17:51:04+00:00,50.0,F,Benito Juárez,GNAL. PEDRO ANAYA,"Transporte público, Vehículo particular",No,,,"1.- ES UNA ZONA ESTABLECIDA CON AFLUENCIA VEHICULAR QUE GENERARÍA MAYOR TRAFICO Y ESTO LLEVA A MAS ASALTOS .
2.- EXISTE DESDE HACE MAS DE 20 AÑOS EL TRANSPORTE EN CONTRAFLUJO QUE NO LE DIERON LA IMPORTANCIA DEBIDO A QUE NO TIENE MUCHOS TRANSEÚNTES QUE LO OCUPEN COMO AHORA QUIEREN PONER UNO SI YA EXISTE Y NO FUNCIONA ESTAN LOS DOS CARRILES PARA TRASPORTE Y NO SE OCUPAN POR LA RAZÓN ANTES MENCIONADA.
3. - EXISTEN DOS DEPENDENCIA SAGARPA Y DIRECCIÓN DE INDÍGENAS DE LAS CUALES EN OCASIONES HAY MANIFESTACIONES Y ES UN CAOS VEHICULAR Y REDUCIENDO SERIA UN CONFLICTO
4- GENERARÍA MAS CONTAMINACIÓN DE TODOS LOS VEHÍCULOS EN TRÁNSITO LENTO 
5.-TODA LA AVENIDA NO ES DEL MISMO ANCHO EN ALGUNAS DISTANCIAS SE ACORTA Y SERIAN MENOS CARRILES PARA LOS VEHÍCULOS
6.- LA AV,. CUAUHTEMOC ES EL ENLACE  DE MUCHAS CALLES QUE SE INCORPORAN ASIA EL EJE 8 QUE VAN PARA EL ORIENTE DE LA CIUDAD
7-. NO EXISTEN LAS CONDICIONES DE SEGURIDAD      PARA TRANSPORTARSE EN TRANSPORTE PUBLICO PUBLICO
8.- EL BENEFICIO PARA LA POBLACIÓN ES MÍNIMO PORQUE EXISTEN MEDIOS DE TRANSPORTE CERCAS DE ESTA ZONA COMO EL METRO LINEA 3 Y LINEA 12 Y MICROBUSES EN CALLES ALTERNAS",No
51,2019-11-13T20:17:58+00:00,20.0,F,Benito Juárez,Narvarte Poniente,"A pie, Transporte público, Taxi",No,,,Creo que la ampliación del metro bus traerá más comercio ambulante y por ende más afectación a la avenida. Además de reducir los carriles para los vehículos creo que podría fomentar la inseguridad. Definitivamente no deseamos la ampliación del metro bus.,No
52,2019-11-13T20:06:02+00:00,47.0,M,Benito Juárez,Narvarte Poniente,Vehículo particular,No,,,"NO ESTOY DE ACUERDO, DEBIDO A QUE VEO INECESARIO GASTAR EN OPCIÓN DE TRANPORTE, EN LA CUAL VA UNA LINEA DEL TRANSPORTE METRO PARALELO Y CON LA MISMA DIRECCIÓN DE RUTA; APARTE QUE SE PLANTARAN MAS COMERCIO INFORMAL O AMBULANTAJE LO CUAL OCASIONA INSEGURIDAD, BASURA Y COMPLICACIONES DE LA AVENIDA Y BANQUETA. APARTE DEL METRO, TAMBIÉN SOBRE LA AV CUAUHTÉMOC EXISTE UNA RUTA DE CAMIONES QUE AL IGUAL TIENEN LA MISMA DIRECCIÓN NO QUITAN ESPACIO, NI ENTORPECEN LA AVENIDA. ""NO ESTOY DE ACUEDO""",No
53,2019-11-13T19:52:59+00:00,28.0,M,Benito Juárez,NARVARTE,Bicicleta,No,,,"EL TRANSPORTE DE METROBUS ES DEFICIENTE, INSEGURO,
EL EJE VÍAL NO ESTÁ PLANEADO PARA UNA OBRA DE ESE ÍNDOLE, YA SE CUENTA CON EL METRO SOBRE ESA RUTA.
SE DEBERÍA MEJORAR LA INFRAESTRUCTURA DEL TRANSPORTE ACTUAL, TANTO METRO COMO MB.
EL TRANSPORTE QUE PASA EN CONTRAFLUJO ES MEJOR, Y MAS BARATO. EL HECHO DE QUE HAGAN MÁS TRANSPOTE PÚBLICO, NO ASEGURA QUE LA AFLUENCIA VEHICULAR VA A DISMINUIR, POR EL CONTRARIO LAS AFECTACIONES VÍALES VAN A SER MAYORES, Y SOBRE TODO EN LA ALCADÍA BJ.
DE VERDAD ES INVIABLE LA PROPUESTA E INNECESARIA, Y HABLO CON EL CONOCIMIENTO Y EXPERIENCIA, YA QUE HE RADICADO EN LA ZONA TODA MI VIDA, Y SÉ QUE EXISTEN OTRAS PRIORIDADES DE MOVILIDAD QUE ATENDER.",No
54,2019-11-13T19:41:03+00:00,50.0,M,Benito Juárez,XOCO,Transporte público,No,,,"SATURARIA LA VIALIDAD , PREFIERO EL TROLEBUS",No
55,2019-11-13T19:35:04+00:00,29.0,M,Benito Juárez,Xoco,A pie,Sí,Cuidar que no se estacionen los coches sobre Avenida México Coyoacán.,,,Sí
56,2019-11-13T16:35:03+00:00,52.0,M,Benito Juárez,Xoco,Vehículo particular,Parcialmente,,"Que no termine en Xoco, que termine por la Delegación Benito Juárez, en Santa Cruz, ya que por el enorme flujo de autos por todos los edificios de Mitika y City Towers, hacen el acceso a Xoco imposible.
Si ya no hay mas remedio, sugiero dejen el paso libre para cruzar el Eje 1 a la altura de calles Palomar libre, ya que eso hace mas fácil el acceso a Puente de Xoco.
De otra forma será un gran, gran, gran caos.",,No
57,2019-11-13T16:17:10+00:00,39.0,F,Benito Juárez,xoco,Vehículo particular,No,,,"afectacion de la vialidad, es decir, disminucion de los carriles para los vehiculos particulares lo cual afecta no solo a los habitantes de la zona si no tambien los acceso a los hospitales y lugares de esparcimiento cercanos. La cantidad de personas que se ven actualmente usando el transporte publico por la zona no es tanto como para que haga falta la instalacion de metro bus , hay estaciones cercanas del metro que ya cubren la zona.",No
58,2019-11-13T18:12:31+00:00,46.0,M,Benito Juárez,Xoco,Vehículo particular,No,,,"El tramo del eje 8 a Circuito Interior cuenta con autobuses en ambos sentidos e invariablemente siempre van casi vacíos. No es un tramo de donde surja flujo o a donde llegue flujo del transporte público. Considero que solo generarán más caso víal considerando que hay escuelas que por la mañana ya saturan la avenida México-Coyoacán y una vez que se aperture el edificio Mitika, el tráfico ya será lo suficientemente caótico como para agregarle las obras y luego el flujo de los autobuses del metrobus que tendrán su terminal en Xoco y que ahí se acumularán generando más tráfico.",No
59,2019-11-13T18:07:12+00:00,60.0,M,Benito Juárez,Mixcoac,"Transporte público, Vehículo particular",No,,,"Se me hace absurdo poner la linea del metrobus en paralelo a la linea del metro, mejor inviertan en dar un mejor servicio en el metro, que  hace mucha falta. Además, si el gobierno ""está"" tratando de hacer más fluido el tránsito en general, esta obra, entre otras, va a a crear problemas de vialidad en la zona.",No
60,2019-11-13T16:05:30+00:00,30.0,Prefiero no decir,Benito Juárez,Alamos,"Bicicleta, Transporte público",Parcialmente,,"Uso Av. Cuauhtemoc frecuentemente y como ciclista, me siento vulnerable cuando recorro el tramo en paralelo a la línea del MB, una vez cruzando Eje 4 me siento más cómoda, pero soy consciente que éste servicio beneficia a muchas personas y estoy de acuerdo con su implementación, sin embargo, tienen que hacer un trabajo en serio para mejorar la educación vial de los automovilistas, quizá ampliando el carril de baja, para que la comunidad ciclista podamos circular un poco más segura.",,Sí
61,2019-11-13T05:50:10+00:00,50.0,M,Benito Juárez,Santa Cruz Atoyac,Vehículo particular,No,,,"Caos vehicular debido a que quitarían 3 carriles , 
Y eso generaría pasar más de 60 min para llegar a mi hogar por el tráfico que se genera por dicho transporte.
Claro ejemplo en avenida Cuauhtémoc donde actualmente circula  el metro bus",No
62,2019-11-13T17:04:58+00:00,39.0,M,Benito Juárez,GENERAL PEDRO MARIA ANAYA,"Transporte público, Vehículo particular",No,,,"Esto no va a beneficiar a más ciudadanos que usan el trasporte público, al contrario va a generar caos y delincuencia en las colonias donde estén las estaciones y terminal generando ambulantaje y más desorden vial por los camiones y microbuses que vana a hacer base y pelear por sus rutas. Actualmente  en la zona existen medios de transporte suficientes poner un la línea de metrobus solo traerá problemas y en lugar de ayudar perjudica.",No
63,2019-11-13T17:04:18+00:00,45.0,F,Benito Juárez,Santa cruz atoyac,Transporte público,No,,,Considero generara más tráfico en la zona y donde daran vuelta los camiones. Considero es mejor el trolebus ademas de q no contamina y ocuparia el carril q ya esta destinado al transporte publico sin mayor inversión.,No
64,2019-11-13T05:04:52+00:00,35.0,M,Benito Juárez,Santa Cruz Atoyac,Vehículo particular,Sí,"- Implementar el servicio en ambos sentidos, de norte a sur y de sur a norte
- Agilizar las obras 
- Añadir una estación mas hacia el sur (que llegue a Coyoacán o cerca de Coyoacán)",,,Sí
65,2019-11-13T04:49:37+00:00,46.0,M,Benito Juárez,General Anaya,Transporte público,No,,,"Las estaciones de Metrobús traen consigo ambulantaje, deterioro del mobiliario urbano, delincuencia, los necesidades de transporte están completamente cubiertas, existen 2 estaciones del metro (Coyoacan y Eje Central), trolebus sobre Eje Central, trasporte M1 o RTP sobre Churubusco y colectivos que ya circulan sobre Cuauhtémoc (simplemente hay que ver a esos colectivos nunca van llenos pues la necesidad de transporte no es tanta)",No
66,2019-11-13T02:30:53+00:00,44.0,M,Benito Juárez,General Anaya,A pie,No,,,Quitaran carriles de circulación y pasará lo mismo que en muchos tramos de Guerrero Y Cuauhtemoc. Les sugiero poner transporte limpio (trolebús) en los carriles que ya están confinados para el transporte público,No
67,2019-11-13T02:01:39+00:00,38.0,M,Benito Juárez,Letran Valle,"A pie, Transporte público",No,,,En las líneas qué se han vi truido la afectación vial ha sido mayor al beneficio. La misma línea 3 es el mejor ejemplo. Cuauhtémoc en toda la zona donde transita el metrobus es un caos qué se mejora muchísimo en cuanto se amplían nuevamente los carriles por el fin de la línea. Todo el tiempo requiere mantenimiento,No
68,2019-11-13T15:45:11+00:00,31.0,M,Benito Juárez,ACACIAS,"Bicicleta, Transporte público",Sí,"Sensibilización sobre el impacto y beneficio a la mayor parte de la población.
Sembrado de 10 árboles en la zona por cada uno que se llegará a tirar.
Plantearlo como zona sostenible, que aumente el valor de las propiedades, poner más árboles, ciclovías y cicloestaciones, parques de bolsillo, de esta manera los más beneficiados serán los vecinos.",,,Sí
69,2019-11-13T15:31:30+00:00,44.0,M,Benito Juárez,Pedro General Anaya,Vehículo particular,No,,,"No estoy de acuerdo por qué dónde han puesto Metrobus hay más caos por la reducción de carriles y la vuelta del metrobus que piensan poner en Bruno traven causara mucha afectación ya que de por si cuando pasan camiones por Río Churubusco se mueven los edificios ahora pasando más cerca el metrobus se verá afectado a los vecinos y el pavimento que se hunde como se ha visto en otras estaciones , deberían habilitar el Trolebús para dejar libre más carriles en av Cuahutemoc o poner la terminación de  la L3 en av Cuahutemoc y Popocatepetl para que ahí den vuelta los camiones que es un avenida grande y no calle pequeña y habilitar carriles para bicis. Hay que pensar que si termina la estación en el hospital Xoco se verá afectado el hospital, la cineteca , la CNDPI que muy seguido hacen manifestación y se concentrara el tráfico en el puente de Churubusco y av Cuahutemoc y afectará vías principales e importantes , se hará un embudo sin solucionar nada. Gracias",Sí
